"id","label","rank","x","y","cost","target"
50269,"Nemausus",80,4.357,43.843,0.0,0
50270,"Nemetacum",70,2.763,50.297,0.0,0
50271,"Nicaea",90,29.723,40.436,0.0,0
50272,"Nicomedia",90,29.924,40.770,0.0,0
50273,"Nicopolis",80,20.735,39.007,0.0,0
50274,"Nicopolis (Pontus)",80,38.146,40.151,0.0,0
50275,"Nisibis",80,41.244,37.077,0.0,0
50775,"Nisyros",70,27.172,36.588,0.0,0
50276,"Novae",80,25.385,43.615,0.0,0
50277,"Noviomagus",70,8.445,49.315,0.0,0
50278,"Nuceria",80,14.673,40.742,0.0,0
50690,"Oasis Parva",80,28.855,28.338,0.0,0
50279,"Ocriculum",80,12.466,42.411,0.0,0
50280,"Odessus",80,27.908,43.211,0.0,0
50281,"Oea",90,13.174,32.897,0.0,0
50282,"Oescus",80,24.472,43.707,0.0,0
50451,"Olbia",80,9.501,40.929,0.0,0
50621,"Olbia (Borysthenes)",90,31.902,46.692,0.0,0
50283,"Olisipo",80,-9.145,38.726,0.0,0
50284,"Omboi",80,32.950,24.466,0.0,0
50285,"Osca",80,-0.410,42.139,0.0,0
50286,"Ostia/Portus",90,12.287,41.754,0.0,0
50287,"Ovilava",80,14.026,48.163,0.0,0
50288,"Oxyrhynchus",80,30.626,28.672,0.0,0
50289,"Palantia",60,-5.383,42.446,0.0,0
50762,"Palinurus Pr.",60,14.932,40.255,0.0,0
50756,"Palma",80,2.650,39.567,0.0,0
50290,"Palmyra",90,38.285,34.559,0.0,0
50714,"Panormus",90,13.318,38.117,0.0,0
50646,"Pantikapaion",90,36.414,45.239,0.0,0
50452,"Paphos",90,32.414,34.758,0.0,0
50291,"Paraetonium",80,27.225,31.356,0.0,0
50599,"Parium",70,27.069,40.420,0.0,0
50292,"Parma",80,10.332,44.803,0.0,0
50293,"Parthanum",60,11.085,47.491,0.0,0
50440,"Patara",80,29.322,36.262,0.0,0
50294,"Patavium",90,11.876,45.409,0.0,0
50795,"Patmos",70,26.558,37.316,0.0,0
50544,"Patrae",90,21.740,38.260,0.0,0
50295,"Pax Iulia",90,-7.851,37.997,0.0,0
50630,"Pedalion Pr.",60,34.080,34.960,0.0,0
50296,"Pella",80,22.522,40.773,0.0,0
50297,"Pelusium",90,32.567,31.043,0.0,0
50298,"Penne Locos",60,6.917,46.397,0.0,0
50299,"Perdices",70,5.367,35.845,0.0,0
50300,"Pergamum",90,27.181,39.140,0.0,0
50437,"Perge",90,30.856,36.967,0.0,0
50301,"Perinthus",80,27.957,40.977,0.0,0
50302,"Petra",90,35.464,30.325,0.0,0
50568,"Petras Megas",70,25.090,31.750,0.0,0
50553,"Petras Mikros",70,23.450,32.170,0.0,0
50303,"Petuaria",70,-0.592,53.687,0.0,0
50438,"Phaselis",80,30.547,36.520,0.0,0
50652,"Phasis",80,41.667,42.150,0.0,0
50443,"Phiara",60,36.602,39.863,0.0,0
50304,"Philadelpheia",90,35.934,31.946,0.0,0
50305,"Philippi",80,24.291,41.018,0.0,0
50306,"Philippopolis",90,24.735,42.146,0.0,0
50307,"Pisae",90,10.396,43.715,0.0,0
50308,"Pistoriae",80,10.892,43.934,0.0,0
50309,"Placentia",90,9.698,45.051,0.0,0
50310,"Poetovio",80,15.869,46.419,0.0,0
50311,"Pola",80,13.840,44.869,0.0,0
50312,"Pompeii",80,14.484,40.748,0.0,0
50313,"Pompelo",70,-1.652,42.800,0.0,0
50314,"Pons Aeni",70,12.118,47.881,0.0,0
50315,"Pons Drusi",60,11.343,46.475,0.0,0
50761,"Populonium",80,10.496,42.996,0.0,0
50316,"Porolissum",80,23.194,47.168,0.0,0
50464,"Portus Blendium",70,-4.043,43.432,0.0,0
50474,"Portus Magnus",70,-0.266,35.808,0.0,0
50456,"Portus Pachyni",70,15.137,36.681,0.0,0
50318,"Potaissa",80,23.756,46.561,0.0,0
50602,"Potidaion",70,27.210,35.510,0.0,0
